accuracy,precision,recall,f1_score,classifier,type
0.7645,0.7629,1.0,0.8655,Logistic Regression,Classical
0.7645,0.7629,1.0,0.8655,SVM (RBF),Classical
0.7782,0.8008,0.9414,0.8654,Random Forest,Classical
0.7645,0.7684,0.9865,0.8639,"NN - 2 shtresa (64, 32)",Neural Network
0.7611,0.7603,1.0,0.8638,"NN - 3 shtresa (128, 64, 32)",Neural Network
0.7577,0.7577,1.0,0.8621,Neural Network (tuned),Neural Network
0.7645,0.7977,0.9234,0.8559,K-Nearest Neighbors,Classical
0.7577,0.7807,0.9459,0.8554,Decision Tree,Classical
